accession	organism	strain	level	biosample	isolation_source
GCF_025544855.1	Lacticaseibacillus paracasei	M38	Scaffold	SAMN29905902	
GCF_054031615.1	Lacticaseibacillus paracasei	51f	Contig	SAMN52399532	
GCF_039751255.1	Lacticaseibacillus paracasei	1001270st1_G8_RTP21400_201112	Scaffold	SAMN41372071	
GCF_039566645.1	Lacticaseibacillus paracasei	A191	Contig	SAMN41162755	
GCF_000309785.1	Lacticaseibacillus paracasei	Lpc-37	Contig	SAMN02472013	
GCF_012931965.1	Lacticaseibacillus paracasei	LPC37	Contig	SAMN08630016	
GCF_028613785.1	Lacticaseibacillus paracasei	H0104	Scaffold	SAMN31666079	
GCF_001076935.1	Lacticaseibacillus paracasei	525_LPAR	Scaffold	SAMN03197720	
GCF_003712835.1	Lacticaseibacillus paracasei	FAM8407	Scaffold	SAMN04088897	
GCF_040909465.1	Lacticaseibacillus paracasei	1001270st1_B5_RTP21361_211029	Scaffold	SAMN41007788	
GCF_052616265.1	Lacticaseibacillus paracasei	AAHM-LP2301	Contig	SAMN51184122	
GCF_008369945.1	Lacticaseibacillus paracasei	DTA93	Scaffold	SAMN12661681	
GCF_009679505.1	Lacticaseibacillus paracasei	BIOML-A1	Contig	SAMN11946114	
GCF_057379305.1	Lacticaseibacillus paracasei	UNCP-H3M25	Contig	SAMN53737833	
GCF_001982085.1	Lacticaseibacillus paracasei	RI-194	Scaffold	SAMN05717749	
GCF_982235395.1	Lacticaseibacillus paracasei		Contig	SAMEA121907838	
GCF_052692255.1	Lacticaseibacillus paracasei	H76	Contig	SAMN47806599	
GCF_025190725.1	Lacticaseibacillus paracasei	CIRM-BIA 699	Contig	SAMN10365439	
GCF_019641395.1	Lacticaseibacillus paracasei	LB113R	Contig	SAMN20672827	
GCF_009823605.1	Lacticaseibacillus paracasei	DTA72	Scaffold	SAMN13679055	
GCF_009679435.1	Lacticaseibacillus paracasei	BIOML-A3	Scaffold	SAMN11946116	
GCF_034044075.1	Lacticaseibacillus paracasei	MP11A	Scaffold	SAMN37950489	
GCF_025190665.1	Lacticaseibacillus paracasei	CIRM-BIA 655	Scaffold	SAMN10365443	
GCF_058244375.1	Lacticaseibacillus paracasei	LPc-G110	Contig	SAMN60714128	
GCF_001858275.1	Lacticaseibacillus paracasei	L9D	Contig	SAMN05383978	
GCF_028878105.1	Lacticaseibacillus paracasei	TMW 1.300	Scaffold	SAMN23708206	
GCF_054634895.1	Lacticaseibacillus paracasei	BRAP-01	Contig	SAMN54684659	
GCF_039566705.1	Lacticaseibacillus paracasei	G187	Contig	SAMN41162751	
GCF_044990665.1	Lacticaseibacillus paracasei	FNCPS K7	Scaffold	SAMN44657157	
GCF_055597705.1	Lacticaseibacillus paracasei	E-25	Contig	SAMN55848473	
GCF_034555155.1	Lacticaseibacillus paracasei	RT4	Contig	SAMN38857191	
GCF_030361125.1	Lacticaseibacillus paracasei	TOM.15.25	Contig	SAMN35776887	
GCF_025186195.1	Lacticaseibacillus paracasei	1016	Contig	SAMN10365677	
GCF_013867595.1	Lacticaseibacillus paracasei	s-16	Contig	SAMN15579850	
GCF_026967175.1	Lacticaseibacillus paracasei	Lpc_yogurt_C3	Contig	SAMN32062182	
GCF_026967095.1	Lacticaseibacillus paracasei	Lpc_yogurt_C5	Contig	SAMN32062184	
GCF_003712455.1	Lacticaseibacillus paracasei	FAM18132	Contig	SAMN04088871	
GCF_004167215.1	Lacticaseibacillus paracasei	co_0103	Contig	SAMN10239551	
GCF_009679495.1	Lacticaseibacillus paracasei	BIOML-A2	Scaffold	SAMN11946115	
GCF_039615415.1	Lacticaseibacillus paracasei	TBM 27	Contig	SAMN41068605	
GCF_015558835.1	Lacticaseibacillus paracasei	1001217B_150727_F3	Scaffold	SAMN15533224	
GCF_059818235.1	Lacticaseibacillus paracasei	AKSCTej36.2	Contig	SAMN40980854	
GCF_028878235.1	Lacticaseibacillus paracasei	M268	Scaffold	SAMN23708198	
GCF_001076595.1	Lacticaseibacillus paracasei	275_LPAR	Scaffold	SAMN03197468	
GCF_003712425.1	Lacticaseibacillus paracasei	FAM18124	Contig	SAMN04088868	
GCF_003712445.1	Lacticaseibacillus paracasei	FAM18129	Contig	SAMN04088870	
GCF_002027405.1	Lacticaseibacillus paracasei	W16	Contig	SAMN06479973	
GCF_026967235.1	Lacticaseibacillus paracasei	Lpc_yogurt_C1	Contig	SAMN32062180	
GCF_028322925.1	Lacticaseibacillus paracasei	1001217st1_H10_1001216I_160404	Scaffold	SAMN31322636	
GCF_003712385.1	Lacticaseibacillus paracasei	FAM18119	Scaffold	SAMN04088865	
GCF_019990865.1	Lacticaseibacillus paracasei	cek-R2	Contig	SAMN21367938	
GCF_002120125.1	Lacticaseibacillus paracasei	HZ-1	Contig	SAMN05954276	
GCF_039757775.1	Lacticaseibacillus paracasei	1001217st1_A4_1001217B_150727	Scaffold	SAMN41376193	
GCF_030237985.1	Lacticaseibacillus paracasei	C29	Contig	SAMN35073031	
GCF_015594965.1	Lacticaseibacillus paracasei	1001713B170131_170501_F11	Scaffold	SAMN15532788	
GCF_028321965.1	Lacticaseibacillus paracasei	1001216st1_C7_1001216I_160404	Scaffold	SAMN31322631	
GCF_028322025.1	Lacticaseibacillus paracasei	1001216st1_H7_1001713B170131_170501	Scaffold	SAMN31322633	
GCF_039757575.1	Lacticaseibacillus paracasei	1001217st2_H7_1001713B170131_170501	Scaffold	SAMN41376199	
GCF_039757635.1	Lacticaseibacillus paracasei	1001217st2_F11_1001713B170131_170501	Scaffold	SAMN41376197	
GCF_039757715.1	Lacticaseibacillus paracasei	1001217st2_C7_1001216I_160404	Scaffold	SAMN41376195	
GCF_050286465.1	Lacticaseibacillus paracasei	D2	Contig	SAMN48024976	
GCF_028322845.1	Lacticaseibacillus paracasei	1001216st1_D9_D55t1_190419	Scaffold	SAMN31322632	
GCF_028322955.1	Lacticaseibacillus paracasei	1001216st1_B6_D55t1_190419	Scaffold	SAMN31322630	
GCF_039757675.1	Lacticaseibacillus paracasei	1001217st2_D9_D55t1_190419	Scaffold	SAMN41376196	
GCF_039757735.1	Lacticaseibacillus paracasei	1001217st2_B6_D55t1_190419	Scaffold	SAMN41376194	
GCF_040093155.1	Lacticaseibacillus paracasei	CLA-AA-H40	Contig	SAMN40631522	
GCF_023375875.1	Lacticaseibacillus paracasei	SP5	Scaffold	SAMN25227086	
GCF_039631165.1	Lacticaseibacillus paracasei	B25	Contig	SAMN41249975	
GCF_016887805.1	Lacticaseibacillus paracasei	4186	Contig	SAMN17562095	
GCF_003712745.1	Lacticaseibacillus paracasei	FAM6012	Scaffold	SAMN04088890	
GCF_003712585.1	Lacticaseibacillus paracasei	FAM18172	Scaffold	SAMN04088876	
GCF_040925145.1	Lacticaseibacillus paracasei	1001217st1_D2_RTP21198_201120	Scaffold	SAMN41035234	
GCF_025190525.1	Lacticaseibacillus paracasei	CIRM-BIA 1517	Contig	SAMN10365450	
GCF_039631115.1	Lacticaseibacillus paracasei	L17	Contig	SAMN41249976	
GCF_000309705.1	Lacticaseibacillus paracasei	UCD174	Contig	SAMN02472002	
GCF_003712705.1	Lacticaseibacillus paracasei	FAM22279	Contig	SAMN04088884	
GCF_003712275.1	Lacticaseibacillus paracasei	FAM18105	Scaffold	SAMN04088861	
GCF_024329455.1	Lacticaseibacillus paracasei	Kef-w14	Contig	SAMN18720967	
GCF_003712865.1	Lacticaseibacillus paracasei	FAM18157	Contig	SAMN04088874	
GCF_016887835.1	Lacticaseibacillus paracasei	2333	Contig	SAMN17562094	
GCF_003712265.1	Lacticaseibacillus paracasei	FAM18110	Scaffold	SAMN04088863	
GCF_010363715.1	Lacticaseibacillus paracasei	D10-4	Contig	SAMN13943411	
GCF_003712925.1	Lacticaseibacillus paracasei	FAM18126	Scaffold	SAMN04088869	
GCF_003545945.1	Lacticaseibacillus paracasei	TJB4	Contig	SAMN09604022	
GCF_039566755.1	Lacticaseibacillus paracasei	Z34	Contig	SAMN41162779	
GCF_028878255.1	Lacticaseibacillus paracasei	I2	Scaffold	SAMN23708201	
GCF_030361225.1	Lacticaseibacillus paracasei	TOM.262	Contig	SAMN35776883	
GCF_025190825.1	Lacticaseibacillus paracasei	CIRM-BIA 2105	Contig	SAMN10365434	
GCF_000827145.1	Lacticaseibacillus paracasei	KL1-Liu	Scaffold	SAMN03105784	
GCF_054031635.1	Lacticaseibacillus paracasei	134_1	Contig	SAMN52400686	
GCF_003712725.1	Lacticaseibacillus paracasei	FAM22280	Contig	SAMN04088885	
GCF_003712875.1	Lacticaseibacillus paracasei	FAM6165	Scaffold	SAMN04088892	
GCF_035021805.1	Lacticaseibacillus paracasei	SRX10	Contig	SAMN38318108	
GCF_040925095.1	Lacticaseibacillus paracasei	2201st1_C3_2201SCRN_220225	Scaffold	SAMN41035237	
GCF_039631215.1	Lacticaseibacillus paracasei	B20	Contig	SAMN41249974	
GCF_003346025.1	Lacticaseibacillus paracasei	KMB_622	Contig	SAMN09398954	
GCF_039631235.1	Lacticaseibacillus paracasei	L18	Contig	SAMN41249977	
GCF_003712395.1	Lacticaseibacillus paracasei	FAM18113	Scaffold	SAMN04088864	
GCF_003712505.1	Lacticaseibacillus paracasei	FAM18168	Contig	SAMN04088875	
GCF_000376145.1	Lacticaseibacillus paracasei	UW4	Contig	SAMN02256476	
GCF_052692195.1	Lacticaseibacillus paracasei	H64	Contig	SAMN48448764	
GCF_004368425.1	Lacticaseibacillus paracasei	INF 448	Contig	SAMN03290696	
GCF_001062665.1	Lacticaseibacillus paracasei	1316.rep1_LPAR	Scaffold	SAMN03197293	
GCF_001982095.1	Lacticaseibacillus paracasei	RI-195	Scaffold	SAMN05717750	
GCF_039566565.1	Lacticaseibacillus paracasei	G185	Contig	SAMN41162749	
GCF_039566655.1	Lacticaseibacillus paracasei	G183	Contig	SAMN41162748	
GCF_039566245.1	Lacticaseibacillus paracasei	Z11	Contig	SAMN41162775	
GCF_057180405.1	Lacticaseibacillus paracasei	AKSCTej37.1	Contig	SAMN40980855	
GCF_039631055.1	Lacticaseibacillus paracasei	B19	Contig	SAMN41249973	
GCF_030361345.1	Lacticaseibacillus paracasei	TOM.88	Contig	SAMN35776877	
GCF_040925085.1	Lacticaseibacillus paracasei	1001217st1_E6_RTP21198_201120	Scaffold	SAMN41035236	
GCF_014155825.1	Lacticaseibacillus paracasei	DPC 7150	Contig	SAMN12280511	
GCF_003712525.1	Lacticaseibacillus paracasei	FAM18133	Scaffold	SAMN04088872	
GCF_023470655.1	Lacticaseibacillus paracasei	MA3	Contig	SAMN27413142	
GCF_018966985.1	Lacticaseibacillus paracasei	MA2	Contig	SAMN19670536	
GCF_023470645.1	Lacticaseibacillus paracasei	KF1	Contig	SAMN27413141	
GCF_018967025.1	Lacticaseibacillus paracasei	ABK	Contig	SAMN19670535	
GCF_036942465.1	Lacticaseibacillus paracasei	KLDS 82	Scaffold	SAMN39782350	
GCF_025211265.1	Lacticaseibacillus paracasei	1015	Contig	SAMN10365676	
GCF_030361135.1	Lacticaseibacillus paracasei	TOM.264	Contig	SAMN35776884	
GCF_025211235.1	Lacticaseibacillus paracasei	1017	Contig	SAMN10365678	
GCF_004368475.1	Lacticaseibacillus paracasei	INF 10	Contig	SAMN03290702	
GCF_025190775.1	Lacticaseibacillus paracasei	CIRM-BIA 1440	Contig	SAMN10365437	
GCF_003712685.1	Lacticaseibacillus paracasei	FAM22278	Contig	SAMN04088883	
GCF_039631065.1	Lacticaseibacillus paracasei	B18	Contig	SAMN41249972	
GCF_001066565.1	Lacticaseibacillus paracasei	844_LCAS	Scaffold	SAMN03198052	
GCF_015555575.1	Lacticaseibacillus paracasei	1001095A_150126_G7	Contig	SAMN15532397	
GCF_003346265.1	Lacticaseibacillus paracasei	KMB_616	Contig	SAMN09398948	
GCF_009679455.1	Lacticaseibacillus paracasei	BIOML-A4	Scaffold	SAMN11946117	
GCF_004368495.1	Lacticaseibacillus paracasei	INF 456	Contig	SAMN03290701	
GCF_039631265.1	Lacticaseibacillus paracasei	B14	Contig	SAMN41249971	
GCF_003346015.1	Lacticaseibacillus paracasei	KMB_623	Contig	SAMN09398955	
GCF_012932815.1	Lacticaseibacillus paracasei	UW1	Contig	SAMN05660434	
GCF_039838605.1	Lacticaseibacillus paracasei	1001095st2_F6_1025SCRN_200924	Scaffold	SAMN31322628	
GCF_039838525.1	Lacticaseibacillus paracasei	1001217st1_A4_1001217B_191108	Scaffold	SAMN31322634	
GCF_039838545.1	Lacticaseibacillus paracasei	1001217st1_G4_1001217B_191108	Scaffold	SAMN31322635	
GCF_001062695.1	Lacticaseibacillus paracasei	1316.rep2_LPAR	Scaffold	SAMN03197294	
GCF_015552805.1	Lacticaseibacillus paracasei	1001099B_141217_B4	Contig	SAMN15532539	
GCF_036431975.1	Lacticaseibacillus paracasei	CMAN-Suc	Scaffold	SAMN35624267	
GCF_040925115.1	Lacticaseibacillus paracasei	1001217st1_E3_RTP21198_201120	Scaffold	SAMN41035235	
GCF_039757615.1	Lacticaseibacillus paracasei	1001217st2_H2_1001217B_150727	Scaffold	SAMN41376198	
GCF_001636215.1	Lacticaseibacillus paracasei	BM-LC14617	Scaffold	SAMN04270890	
GCF_000472345.1	Lacticaseibacillus paracasei	12A	Contig	SAMN02441122	
GCF_036432035.1	Lacticaseibacillus paracasei	LMAN-Kh	Scaffold	SAMN35624263	
GCF_000736295.1	Lacticaseibacillus paracasei	Lbs2	Contig	SAMN02910029	
GCF_039838565.1	Lacticaseibacillus paracasei	1001217st1_H5_1001217B_191108	Scaffold	SAMN31322637	
GCF_030676325.1	Lacticaseibacillus paracasei	MYSN17	Scaffold	SAMN26674696	
GCF_022131015.1	Lacticaseibacillus paracasei	CJNU 1877	Scaffold	SAMN21399231	
GCF_978021125.1	Lacticaseibacillus paracasei subsp. paracasei		Contig	SAMEA120911972	
GCF_038419715.1	Lacticaseibacillus paracasei subsp. paracasei	TISTR 2593	Contig	SAMN40500145	
GCF_029906365.1	Lacticaseibacillus paracasei subsp. paracasei	MI3	Contig	SAMN34106059	
GCF_029906315.1	Lacticaseibacillus paracasei subsp. paracasei	MI29	Contig	SAMN34105739	
GCF_020992235.1	Lacticaseibacillus paracasei subsp. paracasei	VKM B-1144	Contig	SAMN23026586	
GCF_047229405.1	Lacticaseibacillus paracasei subsp. paracasei	MJ608	Contig	SAMN43516107	
GCF_053769915.2	Lacticaseibacillus paracasei subsp. paracasei	SCA72564	Scaffold	SAMN53139918	
GCF_015714835.1	Lacticaseibacillus paracasei subsp. paracasei	K114	Contig	SAMN12234693	
GCF_925281875.1	Lacticaseibacillus paracasei subsp. paracasei		Contig	SAMEA11999295	
GCF_925297945.1	Lacticaseibacillus paracasei subsp. paracasei		Contig	SAMEA12005256	
GCF_053470185.1	Lacticaseibacillus paracasei subsp. paracasei	2LB	Scaffold	SAMN50692970	
GCF_925281375.1	Lacticaseibacillus paracasei subsp. paracasei		Contig	SAMEA11998730	
GCF_003367655.1	Lacticaseibacillus paracasei subsp. paracasei	KMB_598	Scaffold	SAMN09398938	
GCF_046939035.1	Lacticaseibacillus paracasei subsp. paracasei	M587A	Contig	SAMN35847929	
GCF_032337035.1	Lacticaseibacillus paracasei subsp. paracasei	TISTR 2593	Contig	SAMN37586168	
GCF_015319235.1	Lacticaseibacillus paracasei subsp. tolerans	MGB0543	Contig	SAMN16657553	
GCF_000409835.1	Lacticaseibacillus paracasei subsp. tolerans Lpl7	Lpl7	Contig	SAMN02469714	
GCF_000958505.1	Lacticaseibacillus paracasei NRIC 1917	NRIC 1917	Contig	SAMD00000557	
GCF_000409895.1	Lacticaseibacillus paracasei subsp. paracasei Lpp226	Lpp226	Contig	SAMN02469716	
GCF_000410035.1	Lacticaseibacillus paracasei subsp. paracasei Lpp49	Lpp49	Contig	SAMN02469726	
GCF_000410135.1	Lacticaseibacillus paracasei subsp. paracasei Lpp17	Lpp17	Contig	SAMN02469707	
GCF_000958525.1	Lacticaseibacillus paracasei NRIC 0644	NRIC 0644	Contig	SAMD00000556	
GCF_000409815.1	Lacticaseibacillus paracasei subsp. paracasei Lpp230	Lpp230	Contig	SAMN02469722	
GCF_000409855.1	Lacticaseibacillus paracasei subsp. paracasei Lpp122	Lpp122	Contig	SAMN02469705	
GCF_000410335.1	Lacticaseibacillus paracasei subsp. tolerans Lpl14	Lpl14	Contig	SAMN02469703	
GCF_000410235.1	Lacticaseibacillus paracasei subsp. paracasei Lpp74	Lpp74	Contig	SAMN02469728	
GCF_000508845.1	Lacticaseibacillus paracasei COM0101	COM0101	Contig	SAMD00016729	
GCF_000410455.1	Lacticaseibacillus paracasei subsp. paracasei Lpp43	Lpp43	Contig	SAMN02469725	
GCF_000410475.1	Lacticaseibacillus paracasei subsp. paracasei Lpp125	Lpp125	Contig	SAMN02641495	
GCF_000410015.1	Lacticaseibacillus paracasei subsp. paracasei Lpp221	Lpp221	Contig	SAMN02469717	
GCF_000410415.1	Lacticaseibacillus paracasei subsp. paracasei Lpp37	Lpp37	Contig	SAMN02469718	
GCF_000410295.1	Lacticaseibacillus paracasei subsp. paracasei Lpp189	Lpp189	Contig	SAMN02469702	
GCF_000958485.1	Lacticaseibacillus paracasei NRIC 1981	NRIC 1981	Contig	SAMD00000558	
GCF_034298135.1	Lactobacillus acidophilus	ATCC 4356	Complete Genome	SAMN38517762	
GCF_003047065.1	Lactobacillus acidophilus	DSM 20079	Complete Genome	SAMN06606133	
GCF_003952845.1	Lactobacillus acidophilus	YT1	Complete Genome	SAMN08142761	
GCF_024397395.1	Lactobacillus acidophilus	HN017	Complete Genome	SAMN29766956	
GCF_020883435.1	Lactobacillus acidophilus	NC55	Complete Genome	SAMN23011956	
GCF_030520065.1	Lactobacillus acidophilus	ATCC 9224	Complete Genome	SAMN36338928	
GCF_025665255.1	Lactobacillus acidophilus	NC56	Complete Genome	SAMN31046618	
GCF_024665075.1	Lactobacillus acidophilus	LA-2	Complete Genome	SAMN29862208	
GCF_021432145.1	Lactobacillus acidophilus	5460	Complete Genome	SAMN24563600	
GCF_032917925.1	Lactobacillus acidophilus	LA01	Complete Genome	SAMN37748333	
GCF_052747875.1	Lactobacillus acidophilus	LA85	Complete Genome	SAMN51335535	
GCF_032463485.1	Lactobacillus acidophilus	CICC6074	Complete Genome	SAMN37638716	
GCF_039880475.1	Lactobacillus acidophilus	NCFM	Complete Genome	SAMN41473774	
GCF_040954475.1	Lactobacillus acidophilus	NCFM_HOWARU_Commercial	Complete Genome	SAMN41473775	
GCF_013342945.1	Lactobacillus acidophilus	LA-G80-111	Complete Genome	SAMN15165794	
GCF_030520045.1	Lactobacillus acidophilus	ATCC 53544	Complete Genome	SAMN36338927	
GCF_000934625.1	Lactobacillus acidophilus	FSI4	Complete Genome	SAMN03274004	
GCF_024665555.1	Lactobacillus acidophilus	LA-5	Complete Genome	SAMN29862214	
GCF_051397015.1	Lactobacillus acidophilus	SLAM_LAA02	Complete Genome	SAMN49860571	
GCF_056270425.1	Lactobacillus acidophilus	LA120	Complete Genome	SAMN56509523	
GCF_002224305.1	Lactobacillus acidophilus	ATCC 53544	Complete Genome	SAMN07357495	
GCF_046529775.1	Lactobacillus acidophilus	C4	Complete Genome	SAMN33177941	
GCF_033569435.1	Lactobacillus acidophilus	P42	Complete Genome	SAMN37691132	
GCF_002286215.1	Lactobacillus acidophilus	LA1	Complete Genome	SAMN05631052	
GCF_052907325.1	Lactobacillus acidophilus	NCU402	Complete Genome	SAMN51605560	
GCF_030369715.1	Lactobacillus acidophilus	W626	Complete Genome	SAMN35796814	
GCF_000011985.1	Lactobacillus acidophilus NCFM	NCFM	Complete Genome	SAMN02603047	
GCF_000389675.2	Lactobacillus acidophilus La-14	La-14	Complete Genome	SAMN02603216	
GCF_045269835.1	Lactobacillus acidophilus	MRD044	Chromosome	SAMN44616945	
GCF_000786395.1	Lactobacillus acidophilus	ATCC 4356	Contig	SAMN03105773	
GCF_001591845.1	Lactobacillus acidophilus DSM 20079 = JCM 1132 = NBRC 13951 = CIP 76.13	NBRC 13951	Contig	SAMD00046914	
GCF_001433895.1	Lactobacillus acidophilus DSM 20079 = JCM 1132 = NBRC 13951 = CIP 76.13	DSM 20079	Scaffold	SAMN02369388	
GCF_000469705.1	Lactobacillus acidophilus DSM 20079 = JCM 1132 = NBRC 13951 = CIP 76.13	CIP 76.13	Scaffold	SAMEA2272342	
GCF_001868765.1	Lactobacillus acidophilus	KLDS 1.0901	Scaffold	SAMN05949236	
GCF_029334915.1	Lactobacillus acidophilus	MehediL2	Contig	SAMN33770778	
GCF_002914945.1	Lactobacillus acidophilus	BA05	Contig	SAMN07187785	
GCF_017009725.1	Lactobacillus acidophilus	LA1063	Contig	SAMN14422845	
GCF_049070585.1	Lactobacillus acidophilus	DS0557	Scaffold	SAMN47424237	
GCF_017009715.1	Lactobacillus acidophilus	La-5	Contig	SAMN14401351	
GCF_058147065.1	Lactobacillus acidophilus	A2	Contig	SAMN60609291	
GCF_058148475.1	Lactobacillus acidophilus	A3	Contig	SAMN60609292	
GCF_025495965.1	Lactobacillus acidophilus	CUL21B	Contig	SAMN09704984	
GCF_017009515.1	Lactobacillus acidophilus	BCRC 14065	Contig	SAMN14363925	
GCF_017009605.1	Lactobacillus acidophilus	BCRC 16099	Contig	SAMN14371312	
GCF_050573395.1	Lactobacillus acidophilus	WGS-8	Scaffold	SAMN48580605	
GCF_033598375.1	Lactobacillus acidophilus	NSL	Scaffold	SAMN38110916	
GCF_027672145.1	Lactobacillus acidophilus	AM18-13	Scaffold	SAMN31809054	
GCF_965136345.1	Lactobacillus acidophilus	CIP103601	Scaffold	SAMEA117660301	
GCF_037996485.1	Lactobacillus acidophilus	ATA-LTC-La060301	Scaffold	SAMN40696271	
GCF_040925285.1	Lactobacillus acidophilus	RTP21277st1_B3_RTP21277_210401	Scaffold	SAMN41035227	
GCF_037996565.1	Lactobacillus acidophilus	ATA-LAP1201	Scaffold	SAMN40696269	
GCF_017009595.1	Lactobacillus acidophilus	BCRC 17008	Contig	SAMN14371317	
GCF_027672405.1	Lactobacillus acidophilus	AM13-1	Scaffold	SAMN31809040	
GCF_046940125.1	Lactobacillus acidophilus	SBS-CC-2136	Scaffold	SAMN36764863	
GCF_003061965.1	Lactobacillus acidophilus	DS13_1A	Contig	SAMN05583782	
GCF_003053135.1	Lactobacillus acidophilus	DS24_1	Contig	SAMN06464090	
GCF_003062025.1	Lactobacillus acidophilus	DS11_1A	Contig	SAMN05583779	
GCF_003062045.1	Lactobacillus acidophilus	DS1_1A	Contig	SAMN05583775	
GCF_002406675.1	Lactobacillus acidophilus	P2	Contig	SAMN07665576	
GCF_036347815.1	Lactobacillus acidophilus	MCC 0241	Contig	SAMN39602792	
GCF_036350535.1	Lactobacillus acidophilus	MCC 0257	Contig	SAMN39603457	
GCF_003061905.1	Lactobacillus acidophilus	DS13_1B	Contig	SAMN05583783	
GCF_017009695.1	Lactobacillus acidophilus	BCRC 80064	Contig	SAMN14371424	
GCF_017009655.1	Lactobacillus acidophilus	BCRC 17481	Contig	SAMN14371318	
GCF_003061925.1	Lactobacillus acidophilus	DS9_1A	Contig	SAMN05583792	
GCF_003061985.1	Lactobacillus acidophilus	DS5_1A	Contig	SAMN05583788	
GCF_017009485.1	Lactobacillus acidophilus	BCRC 12255	Contig	SAMN14363914	
GCF_040785195.1	Lactobacillus acidophilus	gbc_A	Scaffold	SAMN41082096	
GCF_017009475.1	Lactobacillus acidophilus	BCRC 14079	Contig	SAMN14363926	
GCF_003061885.1	Lactobacillus acidophilus	DS20_1	Contig	SAMN06464087	
GCF_017009575.1	Lactobacillus acidophilus	BCRC 16092	Contig	SAMN14363928	
GCF_009741835.1	Lactobacillus acidophilus	LA_AVK2	Contig	SAMN13198280	
GCF_013867555.1	Lactobacillus acidophilus	s-4	Scaffold	SAMN15579838	
GCF_022509485.1	Lactobacillus acidophilus	QAULAN51	Scaffold	SAMN20114166	
GCF_009742735.1	Lactobacillus acidophilus	LA_AVK1	Contig	SAMN13198235	
GCF_013867605.1	Lactobacillus acidophilus	s-13	Contig	SAMN15579847	
GCF_003641085.1	Lactobacillus acidophilus	UBLA-34	Contig	SAMN10136005	
GCF_003053245.1	Lactobacillus acidophilus	DS10_1A	Contig	SAMN05583778	
GCF_008868625.1	Lactobacillus acidophilus	BIO6307	Contig	SAMN12856535	
GCF_017695935.1	Lactobacillus acidophilus	APC2845	Contig	SAMN13342918	
GCF_003061945.1	Lactobacillus acidophilus	DS8_1A	Contig	SAMN05583791	
GCF_023093425.1	Lactobacillus acidophilus	PB2021-BA04	Contig	SAMN18297454	
GCF_025194805.1	Lactobacillus acidophilus	CIRM-BIA 443	Contig	SAMN10365299	
